bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	bin.length	mappable.positions	gc.content
chr1	0	0	2214099	2214099	1953661	0.528132745177
chr1	2214099	2214099	4192684	1978585	1953661	0.568428758335
chr1	4192684	4192684	6147464	1954780	1953661	0.477624103353
chr1	6147464	6147464	8102953	1955489	1953661	0.493140086045
chr1	8102953	8102953	10057490	1954537	1953661	0.474386543323
chr1	10057490	10057490	12012241	1954751	1953662	0.49001894357
chr1	12012241	12012241	14257679	2245438	1953661	0.462396354819
chr1	14257679	14257679	16213372	1955693	1953661	0.465043373328
chr1	16213372	16213372	18201807	1988435	1953661	0.501521586722
chr1	18201807	18201807	20156368	1954561	1953661	0.488133664661
chr1	20156368	20156368	22114195	1957827	1953661	0.462949011379
chr1	22114195	22114195	24071508	1957313	1953662	0.485321984453
chr1	24071508	24071508	26043524	1972016	1953661	0.469502813869
chr1	26043524	26043524	27999768	1956244	1953661	0.491687650735
chr1	27999768	27999768	29955213	1955445	1953661	0.459200932751
chr1	29955213	29955213	31913335	1958122	1953661	0.475506496469
chr1	31913335	31913335	33868961	1955626	1953661	0.475591472407
chr1	33868961	33868961	35829684	1960723	1953662	0.442360351401
chr1	35829684	35829684	37784123	1954439	1953661	0.463838509323
chr1	37784123	37784123	39739006	1954883	1953661	0.460199960611
chr1	39739006	39739006	41703499	1964493	1953661	0.446698006358
chr1	41703499	41703499	43662820	1959321	1953661	0.448096102582
chr1	43662820	43662820	45617289	1954469	1953662	0.46920368734
chr1	45617289	45617289	47584936	1967647	1953661	0.44020554479
chr1	47584936	47584936	49544442	1959506	1953661	0.438691242904
chr1	49544442	49544442	51505248	1960806	1953661	0.387800845366
chr1	51505248	51505248	53460489	1955241	1953661	0.417960836581
chr1	53460489	53460489	55415486	1954997	1953661	0.478691293448
chr1	55415486	55415486	57373504	1958018	1953662	0.409590300406
chr1	57373504	57373504	59334118	1960614	1953661	0.410727546853
chr1	59334118	59334118	61295106	1960988	1953661	0.395457396519
chr1	61295106	61295106	63249764	1954658	1953661	0.40610694443
chr1	63249764	63249764	65207505	1957741	1953661	0.402441995706
chr1	65207505	65207505	67167817	1960312	1953661	0.390967467457
chr1	67167817	67167817	69128036	1960219	1953662	0.395953313427
chr1	69128036	69128036	71091321	1963285	1953661	0.36924555605
chr1	71091321	71091321	73053944	1962623	1953661	0.359959238265
chr1	73053944	73053944	75011055	1957111	1953661	0.353325025177
chr1	75011055	75011055	76971269	1960214	1953661	0.379212801038
chr1	76971269	76971269	78930238	1958969	1953661	0.38539825245
chr1	78930238	78930238	80889538	1959300	1953662	0.357600819067
chr1	80889538	80889538	82851101	1961563	1953661	0.363163596414
chr1	82851101	82851101	84816543	1965442	1953661	0.368681071554
chr1	84816543	84816543	86781225	1964682	1953661	0.388953134448
chr1	86781225	86781225	88741493	1960268	1953661	0.387402755743
chr1	88741493	88741493	90702996	1961503	1953662	0.389216443496
chr1	90702996	90702996	92661960	1958964	1953661	0.397192702681
chr1	92661960	92661960	94620668	1958708	1953661	0.405350970792
chr1	94620668	94620668	96576960	1956292	1953661	0.393819129436
chr1	96576960	96576960	98536390	1959430	1953661	0.362259573182
chr1	98536390	98536390	100493573	1957183	1953661	0.370720703459
chr1	100493573	100493573	102448926	1955353	1953662	0.377435299472
chr1	102448926	102448926	104580634	2131708	1953661	0.347829428691
chr1	104580634	104580634	106546077	1965443	1953661	0.347663760624
chr1	106546077	106546077	108500879	1954802	1953661	0.366069437141
chr1	108500879	108500879	110538452	2037573	1953661	0.43063789063
chr1	110538452	110538452	112495486	1957034	1953661	0.43199818501
chr1	112495486	112495486	114461354	1965868	1953662	0.41831911571
chr1	114461354	114461354	116418675	1957321	1953661	0.412980381879
chr1	116418675	116418675	118376926	1958251	1953661	0.420727045995
chr1	118376926	118376926	120338806	1961880	1953661	0.395204706501
chr1	120338806	120338806	122417898	2079092	1953661	0.405217883669
chr1	122417898	122417898	124371560	1953662	1953662	0.0
chr1	124371560	124371560	126325221	1953661	1953661	0.0
chr1	126325221	126325221	128278882	1953661	1953661	0.0
chr1	128278882	128278882	130232543	1953661	1953661	0.0
chr1	130232543	130232543	132186204	1953661	1953661	0.0
chr1	132186204	132186204	134139865	1953661	1953661	0.0
chr1	134139865	134139865	136093527	1953662	1953662	0.0
chr1	136093527	136093527	138047188	1953661	1953661	0.0
chr1	138047188	138047188	140000849	1953661	1953661	0.0
chr1	140000849	140000849	141954510	1953661	1953661	0.0
chr1	141954510	141954510	144040228	2085718	1953661	0.407117584822
chr1	144040228	144040228	146506642	2466414	1953661	0.421623315824
chr1	146506642	146506642	148995200	2488558	1953662	0.413424132397
chr1	148995200	148995200	151117356	2122156	1953661	0.434995816565
chr1	151117356	151117356	153079767	1962411	1953661	0.430861903177
chr1	153079767	153079767	155036138	1956371	1953661	0.467867323869
chr1	155036138	155036138	157000289	1964151	1953661	0.485654630775
chr1	157000289	157000289	158960241	1959952	1953661	0.406472294758
chr1	158960241	158960241	160919179	1958938	1953662	0.423678622112
chr1	160919179	160919179	162923519	2004340	1953661	0.43124476761
chr1	162923519	162923519	164883104	1959585	1953661	0.384413144198
chr1	164883104	164883104	166844137	1961033	1953661	0.411461294673
chr1	166844137	166844137	168800697	1956560	1953661	0.413597422417
chr1	168800697	168800697	170758135	1957438	1953662	0.381330206801
chr1	170758135	170758135	172716371	1958236	1953661	0.388494656931
chr1	172716371	172716371	174685538	1969167	1953661	0.387862088018
chr1	174685538	174685538	176646694	1961156	1953661	0.408005882239
chr1	176646694	176646694	178605404	1958710	1953661	0.404912513938
chr1	178605404	178605404	180564505	1959101	1953661	0.408366482007
chr1	180564505	180564505	182525701	1961196	1953662	0.424825540308
chr1	182525701	182525701	184481167	1955466	1953661	0.409463105507
chr1	184481167	184481167	186444700	1963533	1953661	0.379424354544
chr1	186444700	186444700	188409133	1964433	1953661	0.357895272687
chr1	188409133	188409133	190366249	1957116	1953661	0.339221753619
chr1	190366249	190366249	192323091	1956842	1953661	0.341807011698
